MAL11E,CBA1R8C1
CCK955,CCK 600
OT,OT
,nal1200
,CCK1500
,
134.73023,234.28032
134.90649,234.5449
135.0151,234.94503
135.34697,235.56336
135.72296,235.65077
135.80007,235.70854
135.82093,235.75119
135.84321,235.88618
135.9095,235.93579
136.44257,236.28013
136.50459,236.31838
136.59102,236.90807
136.78763,236.95996
136.96417,237.93766
137.6286,238.10125
137.64709,238.20675
137.67784,238.24392
137.80533,238.42734
137.90628,239.67607
137.99495,240.23738
138.35124,240.27938
139.01741,240.40519
139.07177,240.46727
139.13875,240.50454
139.28383,240.55938
139.51165,241.44552
139.54636,241.93818
139.63086,242.11932
139.87768,242.59804
140.06163,242.78899
140.19163,243.29593
140.52939,243.41394
140.65217,243.45706
140.82133,243.56131
140.90274,244.30354
140.93595,244.33115
141.12,244.39082
141.41659,244.89226
141.60005,245.03437
141.78286,245.07103
141.8278,245.53373
142.27707,245.61828
142.3021,245.65415
142.5593,245.78031
142.60965,246.2711
142.87579,247.04942
142.90393,247.15943
143.042,247.24725
143.34709,247.63095
143.39437,247.66158
143.78043,248.72374
144.32772,249.15451
144.40011,249.36846
144.52011,249.3923
144.74008,249.51897
144.91269,249.54557
145.00396,250.16294
145.08714,250.52822
145.13432,250.57559
145.53105,250.61154
145.70766,250.66499
145.96355,250.75732
146.10862,250.89685
146.17248,251.25204
146.30731,251.59712
146.52225,251.87455
146.56629,251.97564
146.64135,252.1818
147.06591,252.55784
147.3242,253.84964
147.48685,253.95159
147.57132,253.9719
147.72707,254.15069
147.76422,254.21956
148.18121,254.84036
148.22001,254.88038
148.30578,254.9332
148.34112,255.20117
148.37386,255.54383
148.39973,255.73478
149.53387,255.80851
149.85242,256.92394
150.09893,256.95515
150.12227,257.15122
150.15904,257.42308
150.21071,257.76887
150.28375,258.22903
150.33022,258.55417
150.38774,259.0568
150.42855,259.23111
150.4546,259.28139
151.40654,259.49521
151.47938,259.9349
151.50776,260.06408
151.53004,260.44264
151.87202,260.62641
152.21509,260.7368
152.24757,261.52604
152.30057,261.62094
152.40293,261.72269
152.42581,261.80052
152.45634,261.83886
152.49214,261.96341
152.94404,262.1959
152.97811,262.37361
153.02824,263.69673
153.12065,264.53053
153.58889,264.60613
153.64366,264.64819
153.73713,264.74004
153.83943,264.86208
154.02799,265.15967
154.73407,265.20284
154.81393,265.29771
155.01521,265.80629
155.16289,265.9522
155.20162,266.09072
155.48919,266.17245
155.61526,266.51095
155.68086,266.59944
156.13023,266.66168
156.19832,268.08294
156.29031,268.14214
156.31791,268.36111
156.3603,268.69619
156.38479,269.3848
156.92546,269.42454
157.0348,269.47297
157.58149,269.51481
157.73024,269.71686
157.797,269.77196
157.89912,270.12256
158.24132,270.23837
158.29906,270.62601
158.33809,270.87022
158.35882,271.25242
158.41616,271.2794
158.43637,271.50736
158.46014,271.58756
159.02329,271.95939
159.41709,272.68832
159.45564,272.85362
159.4914,272.99721
159.57957,273.28626
159.64623,273.33899
159.83177,274.14948
159.87731,274.19017
159.91617,274.96245
159.94141,275.01149
160.46091,275.38104
160.88755,275.68713
160.95471,275.7323
160.99892,275.81825
161.16126,276.10371
161.2204,276.13348
161.40425,276.48208
161.76973,276.53083
161.92666,276.97404
162.07044,277.14458
162.16963,277.19758
162.20883,277.25852
162.30755,277.74845
162.33897,277.80416
162.5474,278.02161
163.0415,278.11702
163.06199,278.46428
163.09072,278.61694
163.13563,278.96261
163.35222,279.37225
163.38886,279.55168
163.90604,279.84129
163.94074,279.8619
164.07075,279.9203
164.28401,280.46955
164.4264,280.62748
164.70102,280.99785
164.78205,281.13798
165.27309,281.76119
165.49,281.86342
165.57144,282.3597
165.70041,282.44336
166.2226,282.47869
166.30453,282.73349
166.5236,282.82109
166.88957,282.93711
166.95528,283.94817
167.1272,284.01707
167.32011,284.06897
167.65514,284.18872
167.70403,284.34455
168.12763,284.91803
168.2067,284.97662
168.7422,285.09835
168.80327,285.48357
168.83871,285.73057
168.98082,285.78871
169.24726,285.83315
169.30395,286.43467
169.74307,286.58686
170.02327,286.61585
170.04747,287.51061
170.09415,287.56432
170.64876,288.22812
170.67673,288.26922
170.87331,288.43804
170.93562,288.80603
170.96937,288.85637
171.07122,289.03011
171.13934,289.18427
171.16751,289.53493
171.1974,290.04032
171.98063,290.33911
172.16893,290.38821
172.26894,290.41719
172.61515,290.90484
172.78846,291.5189
172.82235,291.53715
172.86379,291.6856
172.88613,291.79631
172.98654,292.17315
173.0663,292.2182
173.30841,292.51835
173.5962,292.82454
173.65229,293.2859
173.66572,293.55029
173.82204,293.58965
174.29058,293.61108
174.57841,293.9226
174.72751,294.105
174.97295,294.13061
175.02266,294.27278
175.06877,294.37038
175.19153,294.93008
175.27998,294.9881
175.42803,296.30668
175.63069,296.43615
175.6547,296.46756
175.67912,296.71812
175.7484,296.86347
175.76977,296.99365
176.24614,297.12948
176.49268,297.4256
176.58228,298.11895
177.0404,298.93029
177.07572,298.9535
177.18408,299.06891
177.21821,299.8021
177.2998,300.02286
177.93145,300.18725
177.95332,300.27914
177.98049,300.48236
178.33777,301.04098
178.37703,301.15902
178.60281,301.21164
178.62843,301.42366
178.68889,303.12119
178.96942,303.16499
179.08729,303.19419
179.27121,303.43897
179.84948,304.38553
179.93492,304.42445
180.22631,304.78917
180.29119,304.82586
180.44653,305.09733
180.8501,305.18592
180.9339,305.58097
180.96796,306.07865
181.04412,306.15257
181.07216,306.25045
181.275,306.2654
181.52895,306.30625
181.60883,306.62539
181.96989,306.68858
182.12261,307.10215
182.33154,307.17058
182.35382,307.82927
182.41672,307.86587
182.45148,308.07855
182.5316,308.26483
183.0818,308.30483
183.25114,309.59024
183.28497,309.63208
183.31509,310.35463
183.31554,310.38824
183.4405,310.52142
184.01428,310.57607
184.26237,311.06864
184.60626,311.46774
184.93855,311.57117
184.95738,311.621
185.0687,311.81335
185.17402,311.88831
185.25095,312.79073
185.45109,312.85427
186.66879,313.0132
186.73583,313.0681
186.94618,313.12736
187.19125,314.15191
187.29039,314.31299
187.3137,314.73792
187.35136,315.07708
187.49144,315.14993
187.61279,316.31753
187.93436,316.50394
187.97391,316.76093
188.40103,317.28895
188.82187,317.45416
188.91744,317.78275
189.00267,317.94935
189.07464,318.0162
189.29344,318.49731
189.334,318.59817
189.6897,318.63705
189.80783,319.20653
189.91167,319.41017
190.00768,320.01941
190.91588,320.07803
190.94792,320.09593
190.99079,320.14922
191.06265,320.36232
191.09612,320.39317
191.11308,321.15382
191.35083,321.24868
191.45154,321.45435
191.91908,321.47905
191.9421,321.59706
191.96584,322.15522
192.05024,323.00229
192.23371,323.04609
192.86081,323.97053
193.1052,324.44996
193.12777,324.51528
193.14383,324.57285
193.17467,324.82242
193.63017,324.92743
193.65949,325.05758
193.98399,325.08399
194.07974,325.21254
194.1286,325.6501
194.35878,325.77258
194.48182,326.37841
195.43926,326.42133
195.57179,326.4525
195.64278,326.48551
195.96505,326.63624
196.01778,326.72829
196.06998,327.29261
196.10349,327.81536
196.34916,328.06782
196.76228,328.53325
196.78237,328.66481
196.89316,328.73391
196.99465,328.84424
197.44323,329.10066
197.578,330.05043
197.67142,330.75111
197.74536,330.83383
197.87267,331.72996
197.89824,331.75767
